Network_Type,MCC,MNC,LAC,Cell_ID,Longitude,Latitude,Timestamp1,Timestamp2,T1_Year,T2_Year,Signal
LTE,505,1,28746,146483201,151.1936916,-27.45435099,07:04.7,1736378848,2025,2025,0
LTE,505,2,57506,23811339,153.3417035,-27.90391627,30:39.7,1743008164,2025,2025,0
LTE,505,2,57502,24190769,152.997662,-26.27930999,00:07.7,1738187341,2025,2025,0
LTE,505,1,16395,143593536,147.2210684,-42.96945108,30:46.7,1744785122,2025,2025,0
LTE,505,1,28698,146489386,152.50876,-25.90818924,24:55.7,1737217416,2025,2025,0
LTE,505,1,16395,143593536,147.2241514,-42.97085763,46:59.7,1744785122,2025,2025,0
LTE,505,1,32805,149363970,139.5870714,-34.95254194,58:45.7,1748813101,2025,2025,0
LTE,505,2,53370,21596466,146.9466511,-38.57465581,08:24.7,1736739841,2025,2025,0
LTE,505,2,56250,21086770,148.2466966,-41.49395701,24:13.7,1745126341,2025,2025,0
LTE,505,2,57502,24190769,152.9995459,-26.27778284,20:34.7,1738187341,2025,2025,0
LTE,505,1,8223,134273045,151.3814707,-32.73485324,06:55.7,1737589201,2025,2025,0
LTE,505,2,57506,23811339,153.3422704,-27.90233736,18:36.7,1743008164,2025,2025,0
LTE,505,2,57502,24190769,152.998068,-26.28330416,02:27.7,1738187341,2025,2025,0
LTE,505,1,12418,143546379,146.0838293,-38.80614385,06:33.7,1735966626,2025,2025,0
LTE,505,1,28698,146489386,152.5067897,-25.91246708,01:20.7,1737217416,2025,2025,0
LTE,505,2,56250,22081330,146.8758405,-41.23814531,55:30.7,1735984022,2025,2025,0
LTE,505,2,53370,21596466,146.9475494,-38.56511451,00:53.7,1736739841,2025,2025,0
LTE,505,1,12418,143546379,146.0805451,-38.80790089,25:22.7,1735966626,2025,2025,0
LTE,505,1,16395,136301059,147.2132348,-42.89732567,45:08.7,1743210602,2025,2025,0
LTE,505,1,28698,146489386,152.5096314,-25.90768078,16:33.7,1737217416,2025,2025,0
LTE,505,1,12418,143546379,146.0804563,-38.80787223,01:54.7,1735966626,2025,2025,0
LTE,505,1,28746,146483201,151.1852861,-27.44723867,38:17.7,1736378848,2025,2025,0
LTE,505,1,12418,143546379,146.0846686,-38.8113664,14:13.7,1735966626,2025,2025,0
LTE,505,2,56250,21086770,148.2472684,-41.49144851,16:36.7,1745126341,2025,2025,0
LTE,505,2,57502,24190769,152.9992921,-26.28052876,56:19.7,1738187341,2025,2025,0
LTE,505,1,8223,134273045,151.3818595,-32.72804488,17:06.7,1737589201,2025,2025,0
LTE,505,1,8223,134273045,151.3754206,-32.7257674,27:45.7,1737589201,2025,2025,0
LTE,505,2,57502,24160778,152.9912549,-26.71638444,50:43.7,1738017002,2025,2025,0
LTE,505,1,28746,146483201,151.1897406,-27.45184628,32:33.7,1736378848,2025,2025,0
LTE,505,1,8223,134273045,151.3756608,-32.72794524,16:43.7,1737589201,2025,2025,0
LTE,505,1,16395,136301059,147.2143692,-42.90123813,44:30.7,1743210602,2025,2025,0
LTE,505,1,28698,146489386,152.5115998,-25.91296304,45:09.7,1737217416,2025,2025,0
LTE,505,2,53370,21596466,146.9521456,-38.57418082,20:00.7,1736739841,2025,2025,0
LTE,505,1,16402,143360061,147.4555379,-42.70981979,41:16.7,1744535941,2025,2025,0
LTE,505,1,12418,143546379,146.0847196,-38.80630313,04:47.7,1735966626,2025,2025,0
LTE,505,2,56250,21086770,148.2492764,-41.49431019,12:16.7,1745126341,2025,2025,0
LTE,505,1,8223,134273045,151.3769773,-32.73349529,36:44.7,1737589201,2025,2025,0
LTE,505,2,56250,21086770,148.2523402,-41.49465051,24:55.7,1745126341,2025,2025,0
LTE,505,2,56250,21086770,148.2494227,-41.48599929,44:26.7,1745126341,2025,2025,0
LTE,505,1,28746,146483201,151.1915464,-27.44976799,21:31.7,1736378848,2025,2025,0
LTE,505,1,16402,143360061,147.4645542,-42.71490908,24:38.7,1744535941,2025,2025,0
LTE,505,2,57502,24160778,152.9881851,-26.72438175,20:14.7,1738017002,2025,2025,0
LTE,505,1,12418,143546379,146.0791982,-38.81482314,13:26.7,1735966626,2025,2025,0
LTE,505,1,8223,134273045,151.3765015,-32.73371229,01:36.7,1737589201,2025,2025,0
LTE,505,2,53370,21596466,146.9466665,-38.56654112,06:05.7,1736739841,2025,2025,0
LTE,505,2,57506,23811339,153.335662,-27.89532031,58:49.7,1743008164,2025,2025,0
LTE,505,2,57506,23811339,153.3370407,-27.90358746,12:37.7,1743008164,2025,2025,0
LTE,505,2,57506,23811339,153.3428825,-27.90085502,29:30.7,1743008164,2025,2025,0
LTE,505,1,8223,134273045,151.3823625,-32.73432455,17:30.7,1737589201,2025,2025,0
LTE,505,2,56250,22081330,146.8813947,-41.23990673,16:04.7,1735984022,2025,2025,0
LTE,505,2,57506,23811339,153.344783,-27.90398371,49:51.7,1743008164,2025,2025,0
LTE,505,2,56250,22081330,146.8838219,-41.23955109,59:16.7,1735984022,2025,2025,0
LTE,505,2,57502,24190769,152.9988257,-26.27671671,23:58.7,1738187341,2025,2025,0
LTE,505,1,16395,143593536,147.2234838,-42.97222501,34:33.7,1744785122,2025,2025,0
LTE,505,1,28746,146483201,151.1870142,-27.44572463,52:20.7,1736378848,2025,2025,0
LTE,505,2,57502,24190769,152.9968536,-26.28284328,00:42.7,1738187341,2025,2025,0
LTE,505,1,12410,143541772,144.1001159,-38.08155869,11:21.7,1741136102,2025,2025,0
LTE,505,2,57502,24190769,152.997049,-26.28419809,57:47.7,1738187341,2025,2025,0
LTE,505,1,16395,136301059,147.2058495,-42.90262067,47:28.7,1743210602,2025,2025,0
LTE,505,1,32805,149363970,139.586986,-34.9514309,37:50.7,1748813101,2025,2025,0
LTE,505,3,60637,15611169,114.9188338,-29.27424616,32:20.7,1736516462,2025,2025,0
LTE,505,2,53251,21446194,141.8071549,-36.79813936,15:53.7,1737687962,2025,2025,0
LTE,505,2,53251,21446194,141.80923,-36.79817676,43:16.7,1737687962,2025,2025,0
LTE,505,1,12418,143546379,146.0768743,-38.80524289,59:16.7,1735966626,2025,2025,0
LTE,505,1,28698,146489386,152.5104552,-25.90505475,28:19.7,1737217416,2025,2025,0
LTE,505,1,32805,149363970,139.5937189,-34.95069001,51:21.7,1748813101,2025,2025,0
LTE,505,1,12410,143541772,144.1049706,-38.07644823,08:43.7,1741136102,2025,2025,0
LTE,505,1,8223,134273045,151.3755799,-32.72908877,52:35.7,1737589201,2025,2025,0
LTE,505,1,12418,143546379,146.0801131,-38.81167085,40:52.7,1735966626,2025,2025,0
LTE,505,1,28698,146489386,152.5105778,-25.90786036,02:43.7,1737217416,2025,2025,0
LTE,505,1,28698,146489386,152.5145109,-25.90917915,37:11.7,1737217416,2025,2025,0
LTE,505,1,8223,134273045,151.3825248,-32.7291656,43:36.7,1737589201,2025,2025,0
LTE,505,2,57506,23811339,153.3417936,-27.897225,08:33.7,1743008164,2025,2025,0
LTE,505,2,56250,21086770,148.2514934,-41.48732679,21:09.7,1745126341,2025,2025,0
LTE,505,1,8223,134273045,151.3818061,-32.7292302,05:15.7,1737589201,2025,2025,0
LTE,505,1,8223,134273045,151.3801681,-32.73083741,10:40.7,1737589201,2025,2025,0
LTE,505,3,60637,15611169,114.9172689,-29.26727631,19:03.7,1736516462,2025,2025,0
LTE,505,1,12410,143541772,144.0986704,-38.07851969,43:30.7,1741136102,2025,2025,0
LTE,505,1,8223,134273045,151.3807435,-32.73432157,23:23.7,1737589201,2025,2025,0
LTE,505,1,16402,143360061,147.4579753,-42.70635414,29:20.7,1744535941,2025,2025,0
LTE,505,2,53251,21446194,141.8148896,-36.80481458,29:37.7,1737687962,2025,2025,0
LTE,505,1,28698,146489386,152.5118678,-25.9134158,35:07.7,1737217416,2025,2025,0
LTE,505,1,16402,143360061,147.4566782,-42.70890023,52:38.7,1744535941,2025,2025,0
LTE,505,1,16395,143593536,147.2179549,-42.97153006,58:51.7,1744785122,2025,2025,0
LTE,505,2,56250,22081330,146.8781257,-41.23703199,47:26.7,1735984022,2025,2025,0
LTE,505,1,16395,136301059,147.2084218,-42.90407635,22:52.7,1743210602,2025,2025,0
LTE,505,1,32805,149363970,139.5936115,-34.94628179,43:23.7,1748813101,2025,2025,0
LTE,505,2,56250,22081330,146.8776581,-41.24463886,42:20.7,1735984022,2025,2025,0
LTE,505,2,53251,21446194,141.8125382,-36.80471204,35:00.7,1737687962,2025,2025,0
LTE,505,2,57502,24160778,152.9914502,-26.72211868,01:20.7,1738017002,2025,2025,0
LTE,505,1,28698,146489386,152.5059722,-25.91147936,48:11.7,1737217416,2025,2025,0
LTE,505,1,12410,143541772,144.0978979,-38.08116922,08:35.7,1741136102,2025,2025,0
LTE,505,2,53370,21596466,146.9527946,-38.5728674,58:25.7,1736739841,2025,2025,0
LTE,505,2,57502,24160778,152.994738,-26.71589188,30:20.7,1738017002,2025,2025,0
LTE,505,3,60637,15611169,114.916159,-29.26826097,22:16.7,1736516462,2025,2025,0
LTE,505,2,53251,21446194,141.8114672,-36.80248958,45:23.7,1737687962,2025,2025,0
LTE,505,1,12418,143546379,146.0759026,-38.81128259,06:48.7,1735966626,2025,2025,0
LTE,505,2,56250,22081330,146.8842406,-41.23704698,13:35.7,1735984022,2025,2025,0
LTE,505,1,28746,146483201,151.1918839,-27.45025465,35:29.7,1736378848,2025,2025,0
LTE,505,1,12410,143541772,144.1035784,-38.08067155,54:26.7,1741136102,2025,2025,0
LTE,505,1,16395,143593536,147.2162746,-42.96958851,10:43.7,1744785122,2025,2025,0
LTE,505,1,32805,149363970,139.586058,-34.94780982,31:43.7,1748813101,2025,2025,0
LTE,505,1,28746,146483201,151.1937202,-27.45043912,30:59.7,1736378848,2025,2025,0
LTE,505,2,57502,24160778,152.9948779,-26.72257058,20:29.7,1738017002,2025,2025,0
LTE,505,1,28698,146489386,152.5132367,-25.90637987,27:09.7,1737217416,2025,2025,0
LTE,505,2,56250,22081330,146.8823386,-41.24099146,19:28.7,1735984022,2025,2025,0
LTE,505,1,12418,143546379,146.0832792,-38.80678039,53:11.7,1735966626,2025,2025,0
LTE,505,1,16402,143360061,147.4569097,-42.7076723,04:19.7,1744535941,2025,2025,0
LTE,505,1,16395,136301059,147.2064069,-42.90488809,12:25.7,1743210602,2025,2025,0
LTE,505,2,53370,21596466,146.9508228,-38.56704719,13:22.7,1736739841,2025,2025,0
LTE,505,3,60637,15611169,114.9187355,-29.27164663,38:34.7,1736516462,2025,2025,0
LTE,505,2,57502,24190769,152.9977088,-26.27545541,27:27.7,1738187341,2025,2025,0
LTE,505,1,16402,143360061,147.4636014,-42.71129892,01:55.7,1744535941,2025,2025,0
LTE,505,1,32805,149363970,139.5914663,-34.95119032,11:58.7,1748813101,2025,2025,0
LTE,505,1,16395,143593536,147.2161753,-42.97157222,17:39.7,1744785122,2025,2025,0
LTE,505,1,32805,149363970,139.5924365,-34.94848379,02:19.7,1748813101,2025,2025,0
LTE,505,2,57502,24190769,153.0000324,-26.2836099,13:25.7,1738187341,2025,2025,0
LTE,505,2,53251,21446194,141.8076049,-36.80350213,37:17.7,1737687962,2025,2025,0
LTE,505,2,57502,24190769,152.9962861,-26.27651395,15:06.7,1738187341,2025,2025,0
LTE,505,1,16402,143360061,147.457256,-42.71116696,38:59.7,1744535941,2025,2025,0
LTE,505,2,57502,24160778,152.9929641,-26.72394886,07:09.7,1738017002,2025,2025,0
LTE,505,1,16395,143593536,147.2230306,-42.97009134,04:00.7,1744785122,2025,2025,0
LTE,505,1,12410,143541772,144.1012131,-38.08486668,53:45.7,1741136102,2025,2025,0
LTE,505,1,16402,143360061,147.4579911,-42.70542971,08:41.7,1744535941,2025,2025,0
LTE,505,2,57502,24160778,152.9897541,-26.7195275,20:12.7,1738017002,2025,2025,0
LTE,505,2,57502,24190769,153.0024008,-26.28220763,57:52.7,1738187341,2025,2025,0
LTE,505,1,28746,146483201,151.192442,-27.45464162,27:42.7,1736378848,2025,2025,0
LTE,505,1,28698,146489386,152.5086945,-25.91097646,52:32.7,1737217416,2025,2025,0
LTE,505,1,16402,143360061,147.4578034,-42.71467397,26:40.7,1744535941,2025,2025,0
LTE,505,2,57502,24190769,153.0020402,-26.28167926,23:16.7,1738187341,2025,2025,0
LTE,505,2,57506,23811339,153.3373647,-27.89748314,13:51.7,1743008164,2025,2025,0
LTE,505,1,28746,146483201,151.1889447,-27.45188669,39:19.7,1736378848,2025,2025,0
LTE,505,1,16395,143593536,147.2213262,-42.9730777,40:46.7,1744785122,2025,2025,0
LTE,505,3,60637,15611169,114.9204471,-29.26607514,35:29.7,1736516462,2025,2025,0
LTE,505,1,12410,143541772,144.0973291,-38.08417538,30:48.7,1741136102,2025,2025,0
LTE,505,3,60637,15611169,114.9210809,-29.27381557,30:59.7,1736516462,2025,2025,0
LTE,505,2,57502,24160778,152.9946751,-26.71618621,20:04.7,1738017002,2025,2025,0
LTE,505,1,32805,149363970,139.5857059,-34.95381201,18:51.7,1748813101,2025,2025,0
LTE,505,1,12410,143541772,144.1046466,-38.07738067,23:49.7,1741136102,2025,2025,0
LTE,505,1,28746,146483201,151.1948262,-27.45253105,05:04.7,1736378848,2025,2025,0
LTE,505,2,57502,24190769,152.9982989,-26.27652263,09:43.7,1738187341,2025,2025,0
LTE,505,2,57502,24190769,153.0031534,-26.27659857,08:37.7,1738187341,2025,2025,0
LTE,505,1,16395,136301059,147.2143109,-42.90036509,34:26.7,1743210602,2025,2025,0
LTE,505,1,12410,143541772,144.0978585,-38.07632388,19:52.7,1741136102,2025,2025,0
LTE,505,1,16395,136301059,147.209049,-42.90149385,49:21.7,1743210602,2025,2025,0
LTE,505,3,60637,15611169,114.9208846,-29.26803728,29:26.7,1736516462,2025,2025,0
LTE,505,1,28698,146489386,152.5091405,-25.91498567,58:50.7,1737217416,2025,2025,0
LTE,505,3,60637,15611169,114.9170486,-29.27272874,08:17.7,1736516462,2025,2025,0
LTE,505,2,53370,21596466,146.9452045,-38.56659082,52:56.7,1736739841,2025,2025,0
LTE,505,2,57502,24190769,152.996852,-26.27712958,05:36.7,1738187341,2025,2025,0
LTE,505,2,53251,21446194,141.8113813,-36.80491799,33:23.7,1737687962,2025,2025,0
LTE,505,2,57502,24190769,153.0048746,-26.27672057,37:43.7,1738187341,2025,2025,0
LTE,505,1,16395,136301059,147.2147938,-42.89619703,24:00.7,1743210602,2025,2025,0
LTE,505,1,16402,143360061,147.4574802,-42.71097233,39:25.7,1744535941,2025,2025,0
LTE,505,1,12410,143541772,144.1038666,-38.07632287,08:00.7,1741136102,2025,2025,0
LTE,505,3,60637,15611169,114.9222135,-29.26669203,18:42.7,1736516462,2025,2025,0
LTE,505,2,57502,24160778,152.9923582,-26.71669414,28:03.7,1738017002,2025,2025,0
LTE,505,2,57502,24160778,152.9917117,-26.71644116,00:14.7,1738017002,2025,2025,0
LTE,505,2,57502,24190769,153.002353,-26.27538233,25:33.7,1738187341,2025,2025,0
LTE,505,1,32805,149363970,139.5912729,-34.95342701,10:09.7,1748813101,2025,2025,0
LTE,505,2,57502,24160778,152.989316,-26.71945293,46:19.7,1738017002,2025,2025,0
LTE,505,3,60637,15611169,114.9179725,-29.26571276,50:04.7,1736516462,2025,2025,0
LTE,505,1,16402,143360061,147.461098,-42.70839461,37:55.7,1744535941,2025,2025,0
LTE,505,1,8223,134273045,151.3773238,-32.72566003,44:20.7,1737589201,2025,2025,0
LTE,505,3,60637,15611169,114.9226484,-29.27259823,52:24.7,1736516462,2025,2025,0
LTE,505,1,32805,149363970,139.5855295,-34.94510948,36:06.7,1748813101,2025,2025,0
LTE,505,1,16402,143360061,147.4554723,-42.7074073,57:09.7,1744535941,2025,2025,0
LTE,505,2,56250,21086770,148.2451059,-41.49449637,55:04.7,1745126341,2025,2025,0
LTE,505,1,8223,134273045,151.379519,-32.7306423,39:50.7,1737589201,2025,2025,0
LTE,505,1,16395,136301059,147.2101917,-42.90178457,11:41.7,1743210602,2025,2025,0
LTE,505,1,28746,146483201,151.1893791,-27.45361321,30:57.7,1736378848,2025,2025,0
LTE,505,2,56250,22081330,146.8836878,-41.23501933,16:23.7,1735984022,2025,2025,0
LTE,505,3,60637,15611169,114.9236781,-29.26837427,13:10.7,1736516462,2025,2025,0
LTE,505,3,60637,15611169,114.921395,-29.27330919,27:43.7,1736516462,2025,2025,0
LTE,505,1,16395,136301059,147.2138256,-42.89859852,10:29.7,1743210602,2025,2025,0
LTE,505,2,57506,23811339,153.3351479,-27.90059885,31:05.7,1743008164,2025,2025,0
LTE,505,3,60637,15611169,114.9222438,-29.26785459,26:44.7,1736516462,2025,2025,0
LTE,505,2,57502,24160778,152.9902787,-26.72309907,01:52.7,1738017002,2025,2025,0
LTE,505,2,57502,24160778,152.9861151,-26.72039872,00:08.7,1738017002,2025,2025,0
LTE,505,3,60637,15611169,114.9178223,-29.27174562,35:13.7,1736516462,2025,2025,0
LTE,505,1,16402,143360061,147.4611831,-42.71376305,50:23.7,1744535941,2025,2025,0
LTE,505,1,28746,146483201,151.1893377,-27.450702,56:56.7,1736378848,2025,2025,0
LTE,505,1,32805,149363970,139.5864953,-34.94516959,38:46.7,1748813101,2025,2025,0
LTE,505,2,57502,24160778,152.9852893,-26.72206974,35:04.7,1738017002,2025,2025,0
LTE,505,2,53370,21596466,146.9470932,-38.56529136,52:17.7,1736739841,2025,2025,0
LTE,505,2,57506,23811339,153.3353769,-27.89708411,54:19.7,1743008164,2025,2025,0
LTE,505,2,56250,21086770,148.2516445,-41.4876099,02:30.7,1745126341,2025,2025,0
LTE,505,2,56250,21086770,148.250372,-41.49192119,37:53.7,1745126341,2025,2025,0
LTE,505,2,53370,21596466,146.9501324,-38.56710843,40:21.7,1736739841,2025,2025,0
LTE,505,3,60637,15611169,114.9202664,-29.26904658,30:09.7,1736516462,2025,2025,0
LTE,505,2,53370,21596466,146.9521802,-38.56575432,24:17.7,1736739841,2025,2025,0
LTE,505,2,56250,21086770,148.2546709,-41.4865301,46:23.7,1745126341,2025,2025,0
LTE,505,2,56250,22081330,146.8758662,-41.236147,35:05.7,1735984022,2025,2025,0
LTE,505,1,28746,146483201,151.1886694,-27.45255484,57:51.7,1736378848,2025,2025,0
LTE,505,1,16395,143593536,147.2226636,-42.96685255,14:13.7,1744785122,2025,2025,0
LTE,505,1,12418,143546379,146.0834864,-38.8138313,06:10.7,1735966626,2025,2025,0
LTE,505,1,16402,143360061,147.4593862,-42.70820677,50:58.7,1744535941,2025,2025,0
LTE,505,1,28746,146483201,151.1934017,-27.45345159,12:23.7,1736378848,2025,2025,0
LTE,505,1,28746,146483201,151.1910015,-27.44611222,25:46.7,1736378848,2025,2025,0
LTE,505,2,57506,23811339,153.3376004,-27.89576566,43:58.7,1743008164,2025,2025,0
LTE,505,1,16395,143593536,147.2168384,-42.96573593,17:12.7,1744785122,2025,2025,0
LTE,505,1,16395,136301059,147.206863,-42.89920026,45:20.7,1743210602,2025,2025,0
LTE,505,1,28698,146489386,152.5132411,-25.90746109,46:31.7,1737217416,2025,2025,0
LTE,505,2,57502,24190769,152.9964014,-26.27566804,21:15.7,1738187341,2025,2025,0
LTE,505,1,16395,143593536,147.2183528,-42.97062345,32:40.7,1744785122,2025,2025,0
LTE,505,1,16402,143360061,147.4566081,-42.70728678,38:47.7,1744535941,2025,2025,0
LTE,505,3,60637,15611169,114.9198606,-29.27195682,50:05.7,1736516462,2025,2025,0
LTE,505,2,56250,21086770,148.2497998,-41.48649445,53:53.7,1745126341,2025,2025,0
LTE,505,2,56250,21086770,148.2532392,-41.49340528,59:43.7,1745126341,2025,2025,0
LTE,505,2,57502,24190769,153.0047338,-26.28199166,04:17.7,1738187341,2025,2025,0
LTE,505,3,60637,15611169,114.9205716,-29.27332696,54:12.7,1736516462,2025,2025,0
LTE,505,1,32805,149363970,139.5851491,-34.95284471,27:29.7,1748813101,2025,2025,0
LTE,505,2,53251,21446194,141.8147439,-36.80070485,04:15.7,1737687962,2025,2025,0
LTE,505,1,16395,143593536,147.2246587,-42.96873978,35:19.7,1744785122,2025,2025,0
LTE,505,1,32805,149363970,139.5939104,-34.95157638,21:32.7,1748813101,2025,2025,0
LTE,505,2,56250,22081330,146.8767541,-41.23776412,39:30.7,1735984022,2025,2025,0
LTE,505,1,32805,149363970,139.5945868,-34.94679468,03:36.7,1748813101,2025,2025,0
LTE,505,1,28698,146489386,152.511731,-25.91464589,33:01.7,1737217416,2025,2025,0
LTE,505,2,57502,24190769,153.0012065,-26.27727496,02:43.7,1738187341,2025,2025,0
LTE,505,2,53251,21446194,141.8069904,-36.79846678,52:19.7,1737687962,2025,2025,0
LTE,505,1,12418,143546379,146.0776309,-38.80764797,03:38.7,1735966626,2025,2025,0
LTE,505,1,32805,149363970,139.5904218,-34.95353463,53:24.7,1748813101,2025,2025,0
LTE,505,2,53251,21446194,141.8072831,-36.79760991,05:08.7,1737687962,2025,2025,0
LTE,505,2,57502,24190769,152.9969984,-26.28066005,41:16.7,1738187341,2025,2025,0
LTE,505,1,12410,143541772,144.099266,-38.08096555,50:26.7,1741136102,2025,2025,0
LTE,505,2,56250,21086770,148.2489305,-41.49088399,43:18.7,1745126341,2025,2025,0
LTE,505,1,12410,143541772,144.1044094,-38.0781317,50:03.7,1741136102,2025,2025,0
LTE,505,1,28698,146489386,152.5136209,-25.91362319,24:52.7,1737217416,2025,2025,0
LTE,505,2,53370,21596466,146.9501586,-38.57196487,05:49.7,1736739841,2025,2025,0
LTE,505,2,57502,24160778,152.9876765,-26.72278012,41:42.7,1738017002,2025,2025,0
LTE,505,1,12418,143546379,146.0785014,-38.81285189,33:19.7,1735966626,2025,2025,0
LTE,505,2,53370,21596466,146.9493651,-38.57072424,11:57.7,1736739841,2025,2025,0
LTE,505,1,28746,146483201,151.1912742,-27.45257709,45:57.7,1736378848,2025,2025,0
LTE,505,2,56250,22081330,146.884994,-41.23992959,52:59.7,1735984022,2025,2025,0
LTE,505,2,56250,22081330,146.88253,-41.23531068,58:16.7,1735984022,2025,2025,0
LTE,505,1,12410,143541772,144.1049356,-38.07799969,31:08.7,1741136102,2025,2025,0
LTE,505,1,28746,146483201,151.192501,-27.45034729,53:38.7,1736378848,2025,2025,0
LTE,505,1,12410,143541772,144.0969726,-38.07676729,59:07.7,1741136102,2025,2025,0
LTE,505,2,53251,21446194,141.8145642,-36.80385195,39:51.7,1737687962,2025,2025,0
LTE,505,1,28698,146489386,152.507514,-25.90672586,07:37.7,1737217416,2025,2025,0
LTE,505,1,16395,136301059,147.2053053,-42.89521303,30:02.7,1743210602,2025,2025,0
LTE,505,1,16402,143360061,147.461358,-42.70771249,43:13.7,1744535941,2025,2025,0
LTE,505,2,56250,21086770,148.2523275,-41.48543498,52:42.7,1745126341,2025,2025,0
LTE,505,2,56250,21086770,148.2477515,-41.48906776,53:52.7,1745126341,2025,2025,0
LTE,505,1,12418,143546379,146.0813236,-38.80895975,12:12.7,1735966626,2025,2025,0
LTE,505,2,53370,21596466,146.9532334,-38.57198737,12:53.7,1736739841,2025,2025,0
LTE,505,2,57502,24160778,152.9932788,-26.71614135,04:45.7,1738017002,2025,2025,0
LTE,505,2,53251,21446194,141.8098867,-36.8008591,28:27.7,1737687962,2025,2025,0
